time,flux_raw,flux_denoised
260.24460517207626,0.99973875,0.9998893737792969
260.26503825565305,0.99997723,0.9998360276222229
260.28547123923636,0.9996933,0.9998531937599182
260.30590442258836,0.9998118,0.9997872710227966
260.3263375059323,0.9998568,0.99977046251297
260.34677048904996,0.99955606,0.9997676610946655
260.36720357193553,0.9999731,0.9998863935470581
260.3876367548146,0.99984753,0.9998565912246704
260.4080697374666,0.9997697,0.9998739957809448
260.4285028198865,0.9998225,0.9999034404754639
260.4489360022999,0.9998897,0.9999071955680847
260.4693689844862,1.0000665,0.9999629855155945
260.4898020666733,0.99986446,0.9999679327011108
260.51023524862103,1.000062,0.9999844431877136
260.5306682303417,0.9998615,0.9999801516532898
260.5511013120631,0.9999232,0.9999745488166809
260.5715343935444,0.9999063,1.0000418424606323
260.59196757480095,1.0002841,1.000138521194458
260.61240055593953,1.0002671,1.0001670122146606
260.6328336370716,1.0004269,1.0002514123916626
260.6532668179789,1.0001239,1.0002089738845825
260.6736997987682,1.000235,1.0001474618911743
260.6941328793182,1.0001146,1.0001109838485718
260.7145658598747,0.99980164,1.0000603199005127
260.7349990401999,1.0001163,1.0000882148742676
260.75543212040066,1.0003445,1.0001026391983032
260.77586520037585,1.0001193,1.0001039505004883
260.7962982802346,0.9999376,1.0001181364059448
260.8167313599697,1.0000321,1.0001112222671509
260.8371643395949,1.0001935,1.0001142024993896
260.8575974191044,1.0001811,1.0001524686813354
260.8780305983746,0.99998075,1.0001267194747925
260.8984636775349,1.0000622,1.000130295753479
260.918896656578,1.0002209,1.0001311302185059
260.93932983549894,0.99999493,1.000099778175354
260.9597628141928,1.0002279,1.0001579523086548
260.980195892771,1.0001605,1.0001823902130127
261.0006290712263,1.0000684,1.000178337097168
261.0210620495709,1.0003113,1.0002119541168213
261.04149512768345,1.0002521,1.0001800060272217
261.0619282057887,1.0001903,1.000162959098816
261.08236128366843,1.0002316,1.0001800060272217
261.1027943613153,1.0000778,1.0002049207687378
261.1232274389622,1.0001026,1.0002306699752808
261.14366061636974,1.0004394,1.000257968902588
261.1640935936666,1.0004429,1.0002624988555908
261.18452667084057,1.0001485,1.0002433061599731
261.2049596477882,1.0003786,1.0003515481948853
261.22539282473736,1.0003673,1.0003588199615479
261.2458259014529,1.0006158,1.0003366470336914
261.266258878044,1.0003285,1.0002003908157349
261.2866920544111,1.0002176,1.0001407861709595
261.30712513065373,0.99947256,1.0000988245010376
261.32755820690363,1.0003765,1.0001562237739563
261.34799118291994,1.0003047,1.000171422958374
261.36842435870494,1.0003191,1.0002206563949585
261.3888574344819,1.000325,1.0002756118774414
261.40929041003255,1.0001928,1.0002299547195435
261.42972358546103,1.0002267,1.0002058744430542
261.4501566606632,1.0003309,1.0001688599586487
261.4910228108347,1.0000564,1.0001533031463623
261.51145588568033,1.0002797,1.0001582503318787
261.5318888604161,0.9998082,1.000109851360321
261.55232193503616,1.0002966,1.0000566244125366
261.5727551094169,0.99992305,1.0000325441360474
261.59318818368774,0.99977887,0.9999564290046692
261.6136211578414,0.999862,1.000012993812561
261.6340543318729,1.0000067,1.0000649094581604
261.6544874056781,1.0001708,1.0001455545425415
261.6749203793661,1.0001872,1.0002070665359497
261.69535345293116,1.000305,1.0002137422561646
261.71578662638785,1.0002104,1.00022691488266
261.7362195997266,1.000022,1.0002140998840332
261.756652672826,1.000485,1.0003038048744202
261.77708584581706,1.0002892,1.0003176927566528
261.79751881869015,1.0006144,1.0003715753555298
261.8179518914403,1.0004246,1.000331997871399
261.8383849639649,1.0003102,1.000292718410492
261.85881803648954,1.0001999,1.000252366065979
261.87925110877404,0.9998132,1.000171720981598
261.899684180833,1.0005475,1.0002171993255615
261.9201173528854,1.0001576,1.000160574913025
261.9405503247108,0.9999331,1.0001633167266846
261.9609833964205,1.0002813,1.000193476676941
261.98141656800726,1.0002295,1.0001579523086548
262.0018495394834,1.0003036,1.0002161860466003
262.02228261084383,1.0001874,1.0002111196517944
262.0427155819707,1.0002637,1.0001893043518066
262.0631487529754,1.0002949,1.0001751780509949
262.0835818238702,1.000082,1.0001235008239746
262.10401489453216,0.9999361,1.0000876188278198
262.12444796518685,1.0002939,1.0000574588775635
262.144881035616,0.99988055,1.0000049471855164
262.1653141059214,1.000052,0.9999608397483826
262.18574707611697,0.9996824,0.9999261796474457
262.2061802460812,1.00002,0.9999142289161682
262.2266133160447,0.9998129,0.9999469816684723
262.2470462857673,0.9998506,0.9999426305294037
262.2674794553823,1.0000488,0.9999722838401794
262.2879124248793,1.0000387,0.9999039471149445
262.30834549413703,0.9996118,0.9998765389124552
262.3287785632856,0.9998215,0.999850312868754
262.34921163243416,0.9999289,0.999838133653005
262.3696447012262,0.9997691,0.9998696247736613
262.3900777700255,1.0000014,0.9999170502026876
262.41051083870843,0.9997457,0.9999207059542338
262.43094390715123,1.0001726,0.9999823768933614
262.4513769754849,1.0000502,0.9999484618504842
262.4718101437029,0.99974287,0.9999026656150818
262.4922431116793,1.0000678,0.999933123588562
262.5126761796637,0.99975646,0.9998897910118103
262.5331091474145,0.99990267,0.9998847643534342
262.55354231504316,0.99994624,0.9998942414919535
262.5739753825619,0.9998236,0.9998170534769694
262.5944083499635,0.99968445,0.9998201131820679
262.6148415171265,0.99980175,0.9998289744059244
262.63527458417957,0.9998144,0.9998398820559183
262.65570765111624,1.0000585,0.9999348123868307
262.67614061792847,0.9998354,0.9999540050824484
262.6965737846331,0.999991,0.9999347527821859
262.7170068511041,0.99998856,0.9999117056528727
262.73743981756706,0.99990374,0.9998195767402649
262.757872983806,0.99965817,0.9997724095980326
262.77830604981136,0.99977887,0.9998103976249695
262.7987390158087,0.999781,0.9998263120651245
262.81917218158196,0.99998856,0.9998839100201925
262.8396052473545,0.9998866,0.9999305605888367
262.86003821288614,0.9998656,0.9998538494110107
262.8804712783094,0.9997177,0.9998060266176859
262.9009044435006,0.999911,0.9997068643569946
262.92133740868303,0.9994442,0.9996354381243387
262.94177047364064,0.99969524,0.9996918439865112
262.9622036384826,0.99970454,0.9997411171595255
262.9826367032001,0.9995637,0.9998415311177572
263.0030696678077,1.0001391,0.999932070573171
263.02350273218326,0.9999773,0.9998615384101868
263.0439358965523,0.99982524,0.9997968475023905
263.06436886069423,0.9995728,0.9996633728345236
263.0848019247205,0.9994564,0.9995850523312887
263.10523508850747,0.99969375,0.9996184309323629
263.12566805230017,0.9996303,0.9996585448582967
263.1461011158608,0.9998123,0.9997602899869283
263.1665342794149,0.9996643,0.999779204527537
263.18696724274196,0.9998217,0.9997353355089823
263.2074003058369,0.99969184,0.9996662537256876
263.2278333689246,0.9994225,0.9995283087094625
263.24826643178676,0.9994756,0.9995092153549194
263.2686994946489,0.9992461,0.9994823932647705
263.28913255727093,0.99967843,0.9995519916216532
263.3095657197846,0.99974465,0.9996569752693176
263.3299986820639,0.9996884,0.999732255935669
263.3504317443367,0.999906,0.9997615367174149
263.37086470638314,0.9997137,0.9997326284646988
263.3912978683147,0.9996073,0.999702200293541
263.41173093012185,0.99962616,0.999673143029213
263.43216399181983,0.9995237,0.9996504336595535
263.4525970534014,0.99994904,0.9996964037418365
263.47303011474287,0.99952614,0.9996054023504257
263.4934631759752,0.9996066,0.9996033012866974
263.5138962370911,0.99962884,0.9995516091585159
263.5343292980833,0.99917686,0.9995368868112564
263.5547623589664,0.9998661,0.9996566474437714
263.5751953197323,0.9996606,0.9996939599514008
263.5956284802596,0.9998971,0.9998226910829544
263.61606154067704,0.9998755,0.999858558177948
263.6364945009773,0.99981016,0.9998147189617157
263.65692766115535,0.9998892,0.9997595995664597
263.6773607212235,0.99970824,0.9996538013219833
263.6977936810581,0.9994611,0.9995934665203094
263.71822674076975,0.99956965,0.9995382130146027
263.7386598004887,0.9997624,0.9995881170034409
263.75909285985836,0.99936366,0.9996086061000824
263.77952591922076,0.99956006,0.9996629953384399
263.7999590784748,1.0000095,0.9997011572122574
263.82039203749446,0.99958295,0.9996907413005829
263.8408250965076,0.9995544,0.9996962547302246
263.86125805529446,0.9995954,0.999701589345932
263.8816912139664,0.9997386,0.9997818917036057
263.9021242723975,0.9997452,0.9998330920934677
263.9225572308351,1.0001768,0.999917060136795
263.94299038904137,0.9999373,0.9999089688062668
263.9634234472396,0.99979234,0.9998714029788971
263.98385640521155,0.99965614,0.9998343139886856
264.0042895630686,0.99982065,0.9998171478509903
264.02472262068477,1.0000421,0.9998366832733154
264.0451556783082,0.99979943,0.9998565912246704
264.0655886356981,0.9998125,0.9998399913311005
264.0860217930822,0.99989986,0.9997974634170532
264.10645485023997,0.99972606,0.9997784048318863
264.1268878072806,0.9994578,0.999769851565361
264.16775402089115,0.9997885,0.9998269826173782
264.1881869774661,0.99992985,0.9998949319124222
264.2086200340418,1.0001044,0.9999279379844666
264.2290531903782,0.99983627,0.9999566823244095
264.24948574660084,0.999864,0.9999136626720428
264.26991860270937,0.9997689,0.9998515695333481
264.29035175858735,1.0000825,0.9998459964990616
264.3107848144573,0.9996212,0.999840646982193
264.3312177701009,0.9997685,0.9998643845319748
264.35165092562966,1.0000511,0.9999233037233353
264.37208398103394,1.000046,0.9999694973230362
264.3925169363283,0.9999809,1.0000137984752655
264.41294999150705,0.99989897,1.0000341832637787
264.43338314644643,1.0001388,1.000077247619629
264.47424915610463,1.0001099,1.0001201629638672
264.49468231069477,1.0001072,1.0001435577869415
264.51511526517424,1.000091,1.0001497566699982
264.53554831953807,1.0004563,1.0000868439674377
264.5559813736618,0.99978775,0.9999917298555374
264.57641442779277,0.9999467,0.9999881237745285
264.59684748169093,0.9996626,0.9999949932098389
264.6172805354654,1.000328,1.0000784993171692
264.6377136891315,1.0004541,1.0001662969589233
264.65814664267964,0.99986863,1.0001734793186188
264.67857969610486,1.0002494,1.000181645154953
264.6990128493053,0.99999905,1.0001201033592224
264.7194458025042,1.0002806,1.0000837743282318
264.73987885546376,1.0001442,1.000032126903534
264.7603119083142,0.99973893,0.9999985992908478
264.7807449610482,1.0000738,1.0000115483999252
264.8011780136585,0.9999574,1.0000109672546387
264.82161106604326,1.0003024,1.0000824332237244
264.842044118428,0.9999243,1.0001181364059448
264.8624771705727,1.0002106,1.0001418590545654
264.8829102227246,1.0001875,1.0001572370529175
264.90334317464294,1.0001324,1.000117689371109
264.9237763264391,1.0001948,1.000125765800476
264.94420937800896,1.0000602,1.0001080930233002
264.96464232957806,0.9999962,1.000118374824524
264.985075481025,1.0002236,1.0001532435417175
265.0055085322456,1.0001792,1.000176876783371
265.025941483349,1.0001677,1.0002118051052094
265.0463745343295,1.0001985,1.000230222940445
